File Path,Metadata
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/APT28.docx,"{'mode': 33188, 'ino': 4475003, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 461074, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-11-01 19:22:45', 'create_time': '2023-12-20 14:02:05', 'title': 'Word Document', 'subject': '', 'keywords': '', 'last_modified_by': 'python-docx', 'modified': datetime.datetime(2023, 12, 30, 11, 8, 30), 'category': '', 'language': '', 'Full': {'last_modified_by': 'python-docx', 'modified': datetime.datetime(2023, 12, 30, 11, 8, 30), 'revision': 1, 'title': 'Word Document'}}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/APT28.pdf,"{'mode': 33188, 'ino': 4475061, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 179098, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-12-26 10:51:37', 'create_time': '2023-12-26 10:51:37', 'Creator': 'Writer', 'Producer': 'LibreOffice 7.5', 'Full': {'/Creator': 'Writer', '/Producer': 'LibreOffice 7.5', '/CreationDate': ""D:20231226115136+01'00'""}}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/sans titre.mp3,"{'mode': 33188, 'ino': 4475009, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 62902, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-10-25 11:16:27', 'create_time': '2023-12-20 14:02:05', 'Title': 'papap', 'Artist': 'Andrew', 'Album': 'Patrick ireland', 'Year': '1980', 'Genre': 'folk', 'Duration': 2.3510204081632655, 'Full': {'FRAME_ID_TO_FIELD': {'COMM': 'comment', 'COM': 'comment', 'TRCK': 'track', 'TRK': 'track', 'TYER': 'year', 'TYE': 'year', 'TDRC': 'year', 'TALB': 'album', 'TAL': 'album', 'TPE1': 'artist', 'TP1': 'artist', 'TIT2': 'title', 'TT2': 'title', 'TCON': 'genre', 'TCO': 'genre', 'TPOS': 'disc', 'TPE2': 'albumartist', 'TCOM': 'composer', 'WXXX': 'extra.url', 'TSRC': 'extra.isrc', 'TXXX': 'extra.text', 'TKEY': 'extra.initial_key', 'USLT': 'extra.lyrics'}, 'ID3V1_GENRES': ['Blues', 'Classic Rock', 'Country', 'Dance', 'Disco', 'Funk', 'Grunge', 'Hip-Hop', 'Jazz', 'Metal', 'New Age', 'Oldies', 'Other', 'Pop', 'R&B', 'Rap', 'Reggae', 'Rock', 'Techno', 'Industrial', 'Alternative', 'Ska', 'Death Metal', 'Pranks', 'Soundtrack', 'Euro-Techno', 'Ambient', 'Trip-Hop', 'Vocal', 'Jazz+Funk', 'Fusion', 'Trance', 'Classical', 'Instrumental', 'Acid', 'House', 'Game', 'Sound Clip', 'Gospel', 'Noise', 'AlternRock', 'Bass', 'Soul', 'Punk', 'Space', 'Meditative', 'Instrumental Pop', 'Instrumental Rock', 'Ethnic', 'Gothic', 'Darkwave', 'Techno-Industrial', 'Electronic', 'Pop-Folk', 'Eurodance', 'Dream', 'Southern Rock', 'Comedy', 'Cult', 'Gangsta', 'Top 40', 'Christian Rap', 'Pop/Funk', 'Jungle', 'Native American', 'Cabaret', 'New Wave', 'Psychadelic', 'Rave', 'Showtunes', 'Trailer', 'Lo-Fi', 'Tribal', 'Acid Punk', 'Acid Jazz', 'Polka', 'Retro', 'Musical', 'Rock & Roll', 'Hard Rock', 'Folk', 'Folk-Rock', 'National Folk', 'Swing', 'Fast Fusion', 'Bebob', 'Latin', 'Revival', 'Celtic', 'Bluegrass', 'Avantgarde', 'Gothic Rock', 'Progressive Rock', 'Psychedelic Rock', 'Symphonic Rock', 'Slow Rock', 'Big Band', 'Chorus', 'Easy Listening', 'Acoustic', 'Humour', 'Speech', 'Chanson', 'Opera', 'Chamber Music', 'Sonata', 'Symphony', 'Booty Bass', 'Primus', 'Porn Groove', 'Satire', 'Slow Jam', 'Club', 'Tango', 'Samba', 'Folklore', 'Ballad', 'Power Ballad', 'Rhythmic Soul', 'Freestyle', 'Duet', 'Punk Rock', 'Drum Solo', 'A capella', 'Euro-House', 'Dance Hall', 'Goa', 'Drum & Bass', 'Club-House', 'Hardcore Techno', 'Terror', 'Indie', 'BritPop', '', 'Polsk Punk', 'Beat', 'Christian Gangsta Rap', 'Heavy Metal', 'Black Metal', 'Contemporary Christian', 'Christian Rock', 'Merengue', 'Salsa', 'Thrash Metal', 'Anime', 'Jpop', 'Synthpop', 'Abstract', 'Art Rock', 'Baroque', 'Bhangra', 'Big Beat', 'Breakbeat', 'Chillout', 'Downtempo', 'Dub', 'EBM', 'Eclectic', 'Electro', 'Electroclash', 'Emo', 'Experimental', 'Garage', 'Illbient', 'Industro-Goth', 'Jam Band', 'Krautrock', 'Leftfield', 'Lounge', 'Math Rock', 'New Romantic', 'Nu-Breakz', 'Post-Punk', 'Post-Rock', 'Psytrance', 'Shoegaze', 'Space Rock', 'Trop Rock', 'World Music', 'Neoclassical', 'Audiobook', 'Audio Theatre', 'Neue Deutsche Welle', 'Podcast', 'Indie Rock', 'G-Funk', 'Dubstep', 'Garage Rock', 'Psybient'], 'IMAGE_FRAME_IDS': {'APIC', 'PIC'}, 'PARSABLE_FRAME_IDS': {'TIT2', 'TKEY', 'TPE1', 'TXXX', 'TYE', 'TYER', 'TRCK', 'TPE2', 'TCOM', 'TSRC', 'TALB', 'COM', 'TDRC', 'TCON', 'TPOS', 'TCO', 'APIC', 'TAL', 'USLT', 'TP1', 'TRK', 'TT2', 'COMM', 'WXXX', 'PIC'}, 'SUPPORTED_FILE_EXTENSIONS': ['.mp1', '.mp2', '.mp3', '.oga', '.ogg', '.opus', '.spx', '.wav', '.flac', '.wma', '.m4b', '.m4a', '.m4r', '.m4v', '.mp4', '.aax', '.aaxc', '.aiff', '.aifc', '.aif', '.afc'], 'album': 'Patrick ireland', 'artist': 'Andrew', 'audio_offset': 330, 'bitrate': 213.44944444444442, 'bitrate_by_version_by_layer': [[None, [0, 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 0], [0, 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 0], [0, 32, 48, 56, 64, 80, 96, 112, 128, 144, 160, 176, 192, 224, 256, 0]], None, [None, [0, 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 0], [0, 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 0], [0, 32, 48, 56, 64, 80, 96, 112, 128, 144, 160, 176, 192, 224, 256, 0]], [None, [0, 32, 40, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 0], [0, 32, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 384, 0], [0, 32, 64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 0]]], 'channels': 2, 'channels_per_channel_mode': [2, 2, 2, 1], 'comment': 'non', 'duration': 2.3510204081632655, 'extra': {}, 'filesize': 62902, 'genre': 'folk', 'samplerate': 44100, 'samplerates': [[11025, 12000, 8000], [], [22050, 24000, 16000], [44100, 48000, 32000]], 'samples_per_frame': 1152, 'title': 'papap', 'track': '2', 'v1l1': [0, 32, 64, 96, 128, 160, 192, 224, 256, 288, 320, 352, 384, 416, 448, 0], 'v1l2': [0, 32, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 384, 0], 'v1l3': [0, 32, 40, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 0], 'v2l1': [0, 32, 48, 56, 64, 80, 96, 112, 128, 144, 160, 176, 192, 224, 256, 0], 'v2l2': [0, 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 0], 'v2l3': [0, 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 0], 'year': '1980'}}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/test (3e copie).png,"{'mode': 33188, 'ino': 4475569, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 67757, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-11-02 09:06:26', 'create_time': '2023-12-20 21:20:22'}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/RE-MAL-101.pdf,"{'mode': 33188, 'ino': 4477134, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 7504725, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-11-13 20:03:21', 'create_time': '2023-12-26 21:21:01', 'Title': 'PowerPoint Presentation', 'Creator': 'Microsoft® PowerPoint® 2019', 'Author': 'Consulting AMIR', 'ModDate': ""D:20221118161315+01'00'"", 'Producer': 'Microsoft® PowerPoint® 2019', 'Full': {'/Title': 'PowerPoint Presentation', '/Author': 'Consulting AMIR', '/CreationDate': ""D:20221118161315+01'00'"", '/ModDate': ""D:20221118161315+01'00'"", '/Producer': 'Microsoft® PowerPoint® 2019', '/Creator': 'Microsoft® PowerPoint® 2019'}}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/test.png,"{'mode': 33188, 'ino': 4475010, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 67757, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-11-02 09:06:26', 'create_time': '2023-12-20 14:50:18'}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/test (6e copie).png,"{'mode': 33188, 'ino': 4475556, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 67757, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-11-02 09:06:26', 'create_time': '2023-12-20 21:20:22'}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/Capture vidéo du 2023-12-27 12-21-59.mp4,"{'mode': 33188, 'ino': 3018855, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 1899986, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-12-27 11:24:37', 'create_time': '2023-12-27 11:33:56', 'Duration': 3.451, 'Full': {'AUDIO_DATA_TREE': {b'moov': {b'trak': {b'mdia': {b'minf': {b'stbl': {b'stsd': {}}}}}}}, 'FLAGGED_ATOMS': {b'stsd'}, 'IMAGE_DATA_TREE': {b'moov': {b'udta': {b'meta': {b'ilst': {b'covr': {}}}}}}, 'META_DATA_TREE': {b'moov': {b'udta': {b'meta': {b'ilst': {b'\xa9ART': {}, b'\xa9alb': {}, b'\xa9cmt': {}, b'\xa9day': {}, b'\xa9des': {}, b'\xa9gen': {}, b'\xa9lyr': {}, b'\xa9mvn': {}, b'\xa9nam': {}, b'\xa9wrt': {}, b'aART': {}, b'cprt': {}, b'desc': {}, b'disk': {}, b'gnre': {}, b'trkn': {}}}}}}, 'SUPPORTED_FILE_EXTENSIONS': ['.mp1', '.mp2', '.mp3', '.oga', '.ogg', '.opus', '.spx', '.wav', '.flac', '.wma', '.m4b', '.m4a', '.m4r', '.m4v', '.mp4', '.aax', '.aaxc', '.aiff', '.aifc', '.aif', '.afc'], 'VERSIONED_ATOMS': {b'meta', b'stsd'}, 'duration': 3.451, 'extra': {}, 'filesize': 1899986}}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/D1_Introduction_generale_data.pdf,"{'mode': 33188, 'ino': 4477065, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 13763212, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-11-24 08:58:35', 'create_time': '2023-12-26 21:21:01', 'Title': 'S1_1_Introduction générale data.key', 'Creator': 'Keynote', 'ModDate': ""D:20231119170819Z00'00'"", 'Producer': 'macOS Version 12.6.3 (Build 21G419) Quartz PDFContext', 'Full': {'/Title': 'S1_1_Introduction générale data.key', '/Producer': 'macOS Version 12.6.3 (Build 21G419) Quartz PDFContext', '/Creator': 'Keynote', '/CreationDate': ""D:20231119170819Z00'00'"", '/ModDate': ""D:20231119170819Z00'00'""}}"
/home/martin/Documents/Projet-Python/Projet-Python/test_dir/test (7e copie).png,"{'mode': 33188, 'ino': 4475575, 'dev': 66308, 'nlink': 1, 'uid': 1000, 'gid': 1000, 'size': 67757, 'access_time': '2023-12-29 14:19:48', 'modify_time': '2023-11-02 09:06:26', 'create_time': '2023-12-20 21:20:22'}"
